label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230306201833,blank_20230307115508,blank_20230306165253,blank_20230307143122,blank_20230307140540,blank_20230306132712,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,736,736,27,232.154007,8.706,0.834316,[M+H]+,,Butyryl carnitine C4,Butyryl carnitine C4,C11H21NO4,0.656,1.445992,232.154007,538863.81,664159.31,541673.56,1088963.38,559525.31,1244281.12,3853.86,2024.59,2362.94,3432.21,3093.16,3360.81,3751.50,541434.31,393054.59,305431.16,158142.95,492815.25,489862.75,909352.56,1726454.12,1917707.00,3260147.75,2636777.25,1150412.38,499568.84,1771662.00,1456993.38,2847401.25,971763.81,1893222.00,317671.28
g,739,739,24,269.087921,8.562,0.837855,[M+H]+,,Inosine,Inosine,C10H12N4O5,0.132,0.453645,269.087921,13796.32,64778.38,29231.12,20144.06,46946.12,45193.47,0.00,183.12,147.63,279.75,366.02,491.06,165.63,35738.43,34780.79,14922.08,10246.81,73802.92,26651.04,61865.51,37865.50,99684.88,102006.20,264980.34,30243.01,137150.81,100003.62,48775.16,186005.23,80016.78,104883.51,23054.17
g,741,741,28,268.103638,7.467,0.842042,[M+H]+,,Adenosine,Adenosine,C10H13N5O4,1.033,1.479756,268.103638,5007693.50,9485519.00,8545328.00,6126940.00,11406532.00,8185443.50,1159.72,2361.63,1213.91,2124.13,1880.71,2322.06,1879.63,7033342.00,7092800.00,4068942.25,2678841.50,10816633.00,6150512.00,7230369.50,11480077.00,15973212.00,15731184.00,14883459.00,10118841.00,7827255.50,13049797.00,12729853.00,20504686.00,13610299.00,15358128.00,6382016.50
g,745,745,21,265.113647,10.981,0.849203,[M+H]+,,Thiamine,Thiamine,C12H16N4OS,-1.000,7.136952,265.113647,433523.72,68496.26,72191.05,150727.05,49824.27,130739.19,1906.92,6508.54,4762.39,5351.17,0.00,1052.20,11553.75,204284.23,233829.69,137644.27,66055.93,97537.99,175715.08,181279.55,280664.59,237255.25,300677.12,312197.97,277003.75,159615.75,339885.97,157291.67,198080.48,121638.41,285787.47,288262.28
g,749,749,25,265.112152,15.789,0.842690,[M+H]+,,Thiamine,Thiamine,C12H16N4OS,-1.000,1.496458,265.112152,2694249.25,5088432.50,5781001.50,2806247.75,3407300.25,6273745.50,4318.63,7778.48,2667.24,7198.67,5855.55,1245.15,8172.81,6698968.00,3324160.75,3791114.75,479617.75,1850960.12,3593614.75,4494516.50,3566680.00,12244757.00,9537107.00,4921492.00,5393637.50,3321813.00,4968604.00,2332750.75,7101346.50,3873456.75,4127738.75,2497622.00
g,751,751,29,276.143677,13.302,0.840838,[M+H]+,,Glutarylcarnitine,Glutarylcarnitine,C12H21NO6 ,0.072,1.768211,276.143677,5152609.50,11617815.00,6756660.00,9217468.00,12715373.00,11854413.00,721.39,5069.89,4675.75,3725.62,2549.88,6274.07,694.19,7875371.50,9635985.00,3765923.75,6753316.00,21537680.00,6277841.50,10794815.00,11513897.00,22979934.00,25959272.00,15691139.00,9881060.00,4738164.00,18976678.00,16158305.00,32424166.00,12806095.00,20643152.00,6029716.50
g,755,755,22,305.097534,13.412,0.851781,[M+H]+,,N-acetylaspartylglutamic acid (NAAG),N-acetylaspartylglutamic acid (NAAG),C11H16N2O8,0.212,1.300332,305.097534,8168.33,19118.91,24295.07,19439.01,29821.99,21793.85,0.00,233.25,0.00,0.00,216.43,323.78,254.11,12139.29,19594.95,5713.93,4538.63,20140.74,8312.06,14257.14,92900.09,125478.77,244189.81,164969.70,100349.66,35195.12,130205.04,79518.62,205913.45,65004.33,86471.88,67216.87
g,759,759,26,298.096558,4.738,0.836606,[M+H]+,,5'-Methylthioadenosine,5'-Methylthioadenosine,C11H15N5O3S,0.018,0.921372,298.096558,879716.50,4096328.00,2313121.25,1043441.31,4714652.50,2434126.75,909.76,1928.88,4315.90,2189.08,827.12,1525.52,829.93,1726145.50,4109644.75,971139.69,481175.41,6324068.50,1749627.62,1385140.50,3376141.25,5518023.50,7406615.50,5603201.50,2707839.75,1909381.50,5322548.50,4449730.00,11243892.00,4525060.00,4288421.00,3042120.25
g,772,772,30,291.129486,14.028,0.838159,[M+H]+,,Argininosuccinic acid,Argininosuccinic acid,C10H18N4O6,-1.000,1.467544,291.129486,1383778.50,623782.00,475049.47,377435.78,452389.66,466433.47,541.82,8125.22,4319.12,9579.38,4277.99,9751.77,1198.56,710844.31,638043.69,616702.56,168426.14,753512.00,705867.00,758371.44,218370.12,363011.84,949926.50,480800.50,297548.66,149878.67,294468.66,271586.00,875007.25,414359.09,361415.00,286882.22
g,774,774,30,288.216705,7.226,0.849179,[M+H]+,,Octanoyl carnitine C8,Octanoyl carnitine C8,C15H29NO4,0.104,0.847072,288.216705,7304.81,25347.28,24093.77,36258.57,33068.00,36830.12,5669.71,10045.53,6342.62,10437.61,9022.41,8495.38,7867.63,23128.60,17119.20,7869.89,11448.98,35088.89,14986.25,35399.12,205755.83,171125.55,370549.72,265809.03,83615.93,55693.25,187086.55,107203.09,191926.19,62450.55,172193.78,19513.69
g,784,784,32,286.201233,7.216,0.836537,[M+H]+,,Octenoyl carnitine C8:1,Octenoyl carnitine C8:1,C15H27NO4,0.184,0.213260,286.201233,55324.50,169967.72,57476.44,111505.62,76778.65,117715.44,12438.30,14595.09,12894.88,17245.49,14854.69,16183.14,10333.84,137374.50,110344.55,57398.54,38214.76,241999.50,97368.55,165130.33,249875.06,261175.83,422102.25,277938.00,129175.44,63029.00,229814.67,201939.73,356501.62,129382.41,318425.91,37801.54
g,787,787,25,245.076492,9.347,0.837585,[M+H]+,,Uridine,Uridine,C9H12N2O6,1.917,1.307486,245.076492,193120.56,673729.06,325775.09,333951.16,685000.44,359584.66,0.00,0.00,195.85,0.00,0.00,267.79,0.00,373036.12,372296.41,194437.83,255139.38,862380.75,276549.50,424567.00,682393.25,1229123.88,1369910.38,1247461.12,489427.75,331574.72,741732.56,627310.19,2594205.75,732938.19,856712.94,310815.62
g,789,789,26,244.154190,6.958,0.808644,[M+H]+,,Carnitine C5:1,Carnitine C5:1,C12H21NO4,0.752,0.624965,244.154190,180348.20,502693.41,291739.47,253303.05,289490.75,449039.00,9403.73,9430.67,13026.11,11587.92,9393.93,10039.55,6980.82,245527.50,329266.72,161672.83,29453.46,535172.19,213453.62,303417.28,403915.34,768770.44,1300796.50,772546.31,389240.28,245461.27,1064004.38,472346.75,765242.75,420603.62,624118.19,210506.75
g,790,790,17,244.154022,8.232,0.816970,[M+H]+,,Carnitine C5:1,Carnitine C5:1,C12H21NO4,0.522,1.312426,244.154022,30139.57,95578.15,70386.85,78111.85,122564.98,188282.95,3666.83,6122.19,5548.47,5792.78,5809.46,5937.24,6046.20,193308.50,69426.45,63659.81,46255.99,94003.10,84081.13,206155.02,480717.16,941863.31,978908.81,882996.00,293146.53,296373.09,953419.25,150981.23,400693.25,155927.94,342172.44,117866.65
g,794,794,25,243.097626,5.070,0.840553,[M+H]+,,Thymidine,Thymidine,C10H14N2O5,0.200,0.313841,243.097626,477592.75,1286242.38,1677340.62,787168.75,1565726.50,2137325.25,1119.15,3990.24,2259.42,2272.20,1735.96,2205.92,3222.18,372126.25,328315.91,121292.69,3406.54,198763.12,286018.44,454489.25,2606883.75,6058349.50,7992532.50,5861986.50,3011711.00,1868744.62,5259498.50,4166887.75,5475036.50,3577772.00,4703297.50,1631995.62
g,796,796,32,243.086990,4.271,0.839835,[M+H]+,,Lumichrome,Lumichrome,C12H10N4O2,0.141,2.699142,243.086990,929332.00,926953.00,977388.56,634101.06,1274322.88,1532739.00,54125.91,48562.22,52196.97,59303.42,51924.83,54455.27,54378.89,689057.94,1059080.62,539677.19,370760.28,2273726.00,693546.00,1715399.00,728501.81,1046565.69,1841277.38,1453569.62,866543.94,761635.94,979682.69,1036245.81,2011235.00,1657208.38,943401.81,1436679.12
g,798,798,30,241.129135,14.000,0.845054,[M+H]+,,Homocarnosine,Homocarnosine,C10H16N4O3,0.270,1.582012,241.129135,672096.31,599774.81,1725774.00,1179087.88,1784473.88,1802834.88,14862.66,6723.79,8496.63,4700.93,2835.44,3446.38,10727.20,268070.50,195455.45,166093.02,40196.12,173460.61,162088.06,314549.62,1693673.38,2885826.75,6118490.50,3062729.00,3740594.25,1508193.88,5910636.50,2928492.25,4299132.00,2872448.25,3484003.75,2439692.25
g,800,800,30,241.129135,14.000,0.845185,[M+H]+,,Anserine,Anserine,C10H16N4O3,0.110,1.582012,241.129135,672096.31,599774.81,1725774.00,1179087.88,1784473.88,1802834.88,14862.66,6723.79,8496.63,4700.93,2835.44,3446.38,10727.20,268070.50,195455.45,166093.02,39649.39,173460.61,162088.06,314549.62,1693673.38,2885826.75,6118490.50,3062729.00,3740274.25,1508176.38,5910454.50,2928165.25,4299132.00,2872448.25,3484003.75,2439515.25
g,804,804,26,240.108444,9.932,0.838209,[M+H]+,,Dihydrobiopterin,Dihydrobiopterin,C9H13N5O3,0.088,2.796173,240.108444,163022.39,1029983.31,640858.50,134579.64,927671.25,314192.88,555.91,783.23,340.33,752.78,434.79,511.11,308.65,585043.94,379287.47,196831.80,400189.41,855217.94,338033.62,442466.34,1554667.88,3783328.25,4758982.50,3077298.00,1291392.75,553302.75,2263378.50,1387082.88,6066363.50,1568250.50,2169671.00,433563.16
g,808,808,0,239.090958,4.135,0.439362,[M+H]+,,"3,4,5-Trimethoxycinnamic acid","3,4,5-Trimethoxycinnamic acid",C12H14O5,1.285,1.850777,239.090958,183465.48,575785.94,229781.81,219748.70,224040.67,323365.84,161371.95,147504.58,149650.11,173846.75,169783.58,176430.56,164680.12,946283.44,1197093.62,723751.00,751623.75,1889466.00,871820.19,801029.19,294018.78,232064.31,264556.72,227594.83,222878.55,209731.00,250765.00,361444.28,323125.84,418315.03,334028.47,182302.14
g,812,812,29,235.107666,7.052,0.831652,[M+H]+,,5-Methoxytryptophan,5-Methoxytryptophan,C12H14N2O3,1.418,0.259605,235.107666,162879.09,471622.75,186412.75,174816.94,920260.81,116453.18,9013.85,11491.40,9673.68,12325.07,6775.35,5346.74,9192.82,312895.78,84648.12,900716.56,3310.95,132736.48,239037.39,167362.67,109293.73,211255.61,294148.59,318977.34,155873.00,136943.78,324446.12,118075.25,235337.58,171249.30,109687.23,333759.78
g,813,813,22,235.109497,8.701,0.838111,[M+H]+,,5-Methoxytryptophan,5-Methoxytryptophan,C12H14N2O3,0.231,7.528547,235.109497,49944.57,52257.81,120974.10,122035.54,209783.80,100229.91,420.00,520.87,922.36,604.28,646.20,841.51,721.06,34554.04,67841.44,53069.93,13719.16,56371.94,110104.63,79002.01,262565.47,414656.84,1323321.12,165033.98,772904.81,394178.53,1031351.44,214033.50,168362.92,65897.97,180325.08,328975.66
g,814,814,30,233.128387,4.259,0.830108,[M+H]+,,Melatonin,Melatonin,C13H16N2O2,1.409,0.261809,233.128387,48809.84,109082.30,76478.49,72844.32,78875.77,103854.66,19307.37,22636.62,19615.90,20333.37,19126.21,14099.67,20919.31,73848.74,65889.98,52659.58,26731.34,75328.96,77221.80,62357.04,105671.91,151482.45,157672.39,138103.83,96260.55,74604.15,123630.73,195789.30,259929.27,178178.08,213992.06,63637.06
g,816,816,25,241.154221,11.214,0.825890,[M+H]+,,Pirbuterol,Pirbuterol,C12H20N2O3,-1.000,1.834942,241.154221,4538318.00,18604036.00,10370212.00,7241846.50,16622977.00,16707253.00,1228.12,1455.97,2974.66,2093.48,1115.89,1524.91,688.92,9873263.00,13016944.00,4481093.50,9597315.00,23749686.00,7774130.50,12715952.00,16636803.00,38452748.00,37735268.00,31417670.00,14033240.00,6576472.00,25553634.00,24838746.00,57137556.00,20454382.00,35375708.00,9995624.00
g,819,819,25,241.154266,13.477,0.821430,[M+H]+,,Pirbuterol,Pirbuterol,C12H20N2O3,-1.000,1.645121,241.154266,1972733.00,8954878.00,5056301.00,2897547.25,9149337.00,7587246.50,545.53,2398.90,2609.63,2066.76,2276.94,2654.97,1314.12,4417085.50,6497396.00,1929244.00,3411964.75,12508699.00,3050866.75,5384874.50,8709759.00,18223358.00,17371882.00,15061813.00,6913911.50,3525495.75,12604240.00,11211579.00,26626496.00,9371995.00,16422955.00,4825569.50
g,824,824,25,260.052734,13.575,0.835647,[M+H]+,,Glucosamine 6-phosphate,Glucosamine 6-phosphate,C6H14NO8P,0.275,0.938811,260.052734,110019.19,123444.81,98069.46,91642.07,205557.05,104389.90,187.47,355.36,443.69,404.42,415.46,1013.89,294.57,89177.96,119179.81,42919.32,28194.85,234605.39,68511.04,111820.66,154953.19,262824.91,536072.81,402143.00,202886.20,69201.72,274222.91,226790.83,721035.81,224181.80,321373.91,99278.29
g,827,827,32,258.109436,13.492,0.848428,[M+H]+,,Glycerophosphocholine,Glycerophosphocholine,C8H20NO6P,0.182,2.601164,258.109436,16442600.00,67013600.00,37433272.00,13836496.00,65368404.00,42827296.00,16640.06,11055.47,9535.43,12184.57,9964.94,13201.96,17421.21,27642922.00,36913176.00,7248465.50,9290552.00,65271092.00,15818835.00,33025504.00,51007140.00,86229048.00,131383976.00,91291816.00,58441616.00,19567812.00,92311144.00,79070392.00,148560752.00,58531648.00,92314432.00,29238450.00
g,831,831,14,255.095642,9.483,0.775149,[M+H]+,,Nicotinamide riboside,Nicotinamide riboside,C11H14N2O5,-1.000,7.476938,255.095642,13038.18,104408.00,44151.15,29886.55,79115.95,61610.52,0.00,141.74,153.19,0.00,293.26,192.89,297.39,69934.63,75685.62,26152.92,234017.27,167325.08,48972.64,66865.96,61334.18,71145.96,43847.22,75739.68,60570.56,25383.76,56133.89,90776.18,82225.94,57489.80,103405.93,50589.17
g,832,832,16,255.095703,10.938,0.844214,[M+H]+,,Nicotinamide riboside,Nicotinamide riboside,C11H14N2O5,-1.000,7.237676,255.095703,44939.89,243514.48,153087.14,88723.65,93514.84,133761.55,574.32,1206.87,2037.77,1562.32,1229.29,2617.70,230.88,235690.61,277599.47,134931.23,268256.22,260983.45,172948.20,210887.17,102477.27,46792.82,58943.61,118253.21,80823.45,128444.07,66211.08,146960.36,42165.84,126978.98,146511.58,166338.67
g,837,837,24,252.107834,5.473,0.848478,[M+H]+,,Deoxyadenosine,Deoxyadenosine,C10H13N5O3,0.287,5.084062,252.107834,74255.30,114029.56,98515.65,99701.27,98383.47,168434.14,1270.82,516.88,2172.79,311.47,1276.55,330.16,646.39,87838.32,112108.91,43884.57,10989.64,125082.56,77606.09,80821.84,113475.09,195564.14,327116.75,179596.98,152484.20,70374.01,218062.19,244393.00,297844.91,156094.64,260663.39,60680.28
g,840,840,29,252.107437,13.905,0.832579,[M+H]+,,Muramic acid,Muramic acid,C9H17NO7,0.815,1.331547,252.107437,132197.86,304386.16,130798.62,116217.53,247178.20,150926.58,640.64,2723.95,4774.90,4186.21,3320.71,5164.27,1054.48,203123.58,217385.48,126047.66,149288.31,346276.22,159177.20,238307.14,198807.30,369405.50,493181.72,352737.34,236574.38,105511.15,363863.75,231795.64,640770.25,308832.97,315569.22,100067.69
g,841,841,23,247.107605,4.450,0.835473,[M+H]+,,N-acetyltryptophan,N-acetyltryptophan,C13H14N2O3,1.450,0.493996,247.107605,618937.56,2174560.25,3026953.75,2663365.25,4640532.00,3583843.00,15322.87,11428.07,11773.60,10130.48,12473.38,7980.34,10860.10,3059643.00,2080078.62,1506465.50,1173507.62,2285271.25,1196158.62,1665810.00,2057563.50,2831732.25,1794770.00,3788309.75,1798994.12,1641418.62,2397201.00,3502625.00,8987470.00,4680094.50,4912001.50,2974779.25
