label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230307115508,blank_20230306132712,blank_20230306165253,blank_20230306201833,blank_20230307140540,blank_20230307143122,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,705,705,29,187.072174,9.455,0.834015,[M-H]-,,N-Acetylglutamine,N-Acetylglutamine,C7H12N2O4,1.105,1.386626,187.072174,4513574.00,11313501.00,11869547.00,8731425.00,17971830.00,12874899.00,1206.72,4506.38,1370.25,2078.58,2376.77,3005.48,2609.05,11208056.00,12481285.00,7209200.00,7914201.50,19908046.00,9766949.00,12879797.00,18508972.00,33448560.00,34370640.00,24593552.00,18230258.00,12899475.00,24942760.00,22771758.00,29036142.00,18095738.00,32868902.00,14358005.00
g,706,706,30,187.072144,10.903,0.832701,[M-H]-,,N-Acetylglutamine,N-Acetylglutamine,C7H12N2O4,0.343,1.549758,187.072144,4746830.50,14137756.00,14467383.00,10099676.00,23975414.00,17059442.00,1299.46,6582.90,887.64,3154.33,4420.46,4722.59,3590.86,14269647.00,19099558.00,8220471.50,15316173.00,33079834.00,10575969.00,15197476.00,27790582.00,52802252.00,42499496.00,40305460.00,21177230.00,17332170.00,31338926.00,30301906.00,44908020.00,25338632.00,42550068.00,18802254.00
g,710,710,29,202.050735,4.136,0.843409,[M-H]-,,Indolepyruvate,Indolepyruvate,C11H9NO3,1.566,1.132793,202.050735,12783928.00,23068552.00,11368677.00,11384768.00,7734755.50,20816884.00,39562.62,45547.20,37460.90,32506.62,32965.96,36845.04,17058.55,18891778.00,16157221.00,9242697.00,382366.97,31248442.00,15425403.00,20087458.00,8872957.00,16095815.00,31119670.00,17515426.00,19980912.00,3697487.25,26184450.00,11814361.00,28369438.00,17432598.00,22926888.00,12458915.00
g,711,711,32,201.113007,9.454,0.833589,[M-H]-,,Sebacic acid,Sebacic acid,C10H18O4,1.546,1.138074,201.113007,1501420.38,2391801.25,2446470.75,3092553.25,2511851.00,4417800.00,125323.15,148728.59,114917.12,125302.72,141338.11,148863.56,126051.95,2702982.75,2223585.25,1629273.88,1397347.38,3629241.25,1897455.50,2694607.75,8616751.00,14505765.00,21206478.00,11210800.00,5822196.50,5928869.50,17752632.00,5338728.50,10763153.00,4624194.50,7918660.00,3005526.75
g,712,712,32,201.112885,10.889,0.832796,[M-H]-,,Sebacic acid,Sebacic acid,C10H18O4,0.111,1.745047,201.112885,2725808.75,3613880.00,4101446.00,4558229.50,4068746.00,7778040.00,452804.75,383798.12,431830.34,475447.50,417777.88,379017.34,414217.16,4556060.00,4890356.00,3000593.75,3386017.25,7403260.00,3092018.25,4392070.00,20244986.00,30490010.00,28304112.00,21293666.00,9445796.00,14318576.00,26998576.00,8128088.50,17650186.00,9267785.00,11565329.00,6287943.50
g,713,713,27,200.128998,2.808,0.822448,[M-H]-,,Capryloylglycine,Capryloylglycine,C10H19NO3,0.042,1.067426,200.128998,464518.88,1301202.62,1222180.12,3908093.00,1680038.62,2446932.75,3904.38,3986.29,4369.06,1771.01,4659.39,4456.21,5333.16,2456048.75,2153605.25,1397627.62,34396.61,1587130.00,1144567.88,1826009.00,6721940.50,9291784.00,13468621.00,10681540.00,4156276.00,3425393.00,6427962.00,5411490.50,6921882.50,3140681.75,7659206.50,2112922.25
g,714,714,25,200.128967,4.266,0.845775,[M-H]-,,Capryloylglycine,Capryloylglycine,C10H19NO3,1.416,1.219915,200.128967,1557059.50,5172171.50,3928873.75,9951139.00,4506682.50,7815208.50,12020.23,9081.26,13024.66,10059.57,4673.66,22439.44,18679.73,6540022.50,6533406.00,4392473.00,14741.98,8429033.00,4238023.00,5787774.50,20396776.00,19752690.00,23386986.00,23252778.00,11507993.00,9564400.00,16156568.00,12256004.00,16169235.00,10564651.00,13522499.00,6114530.50
g,715,715,27,199.969009,10.901,0.851074,[M-H]-,,Cysteine-S-sulfate,Cysteine-S-sulfate,C3H7NO5S2,1.101,1.373502,199.969009,296838.91,204762.94,174890.12,1275059.88,182656.58,716161.75,0.00,1023.52,0.00,1159.98,2165.47,808.45,468.32,773287.31,349840.00,454996.72,91436.59,235937.67,348712.12,632653.56,224942.67,389237.28,874109.50,666600.50,426305.16,126172.41,347093.88,326405.25,772496.00,898325.75,302476.53,192224.30
g,721,721,31,193.050369,4.256,0.831227,[M-H]-,,cis_trans-Ferulic acid,cis_trans-Ferulic acid,C10H10O4,0.004,1.343686,193.050369,2942233.00,4837457.50,3477886.00,1729775.12,2207178.00,3965085.75,962852.06,973567.56,763308.06,986311.44,784456.94,836385.31,698745.06,3284041.75,3391744.75,1833003.38,72705.74,1049752.50,2416168.00,3136100.75,2348248.50,4454097.50,4035440.25,3388551.75,2605997.75,1511729.50,4337374.00,3522221.25,5032054.50,3032879.00,4541191.00,1899869.50
g,724,724,25,195.050568,12.481,0.828617,[M-H]-,,"1,3-Dimethyluric acid","1,3-Dimethyluric acid",C7H8N4O3,-1.000,9.231045,195.050568,10570367.00,14979301.00,11626573.00,3374789.25,35829336.00,4927556.00,3331.09,0.00,2701.17,186166.67,133424.17,122182.38,0.00,8306186.00,9084429.00,4276221.50,4498397.50,16649020.00,6812333.50,8980890.00,40034612.00,67713856.00,179627440.00,112143480.00,57114028.00,23242528.00,68453480.00,24199254.00,101002552.00,33940756.00,39982136.00,22212666.00
g,725,725,24,195.050644,13.164,0.759225,[M-H]-,,"1,3-Dimethyluric acid","1,3-Dimethyluric acid",C7H8N4O3,-1.000,8.839899,195.050644,9204351.00,11672105.00,9560855.00,4090410.75,18981950.00,6496342.50,8540.83,237623.69,6167.10,270671.16,212129.08,227480.08,107374.21,7722796.00,8101856.00,5000677.50,3996928.00,9057963.00,7132710.00,8538731.00,15547193.00,20508430.00,42389636.00,28166538.00,20615146.00,12178035.00,19454058.00,11098216.00,33469128.00,14977077.00,13624759.00,11957832.00
g,726,726,7,195.050659,13.833,0.759095,[M-H]-,,"1,3-Dimethyluric acid","1,3-Dimethyluric acid",C7H8N4O3,-1.000,8.761669,195.050659,1205160.88,937963.56,944206.81,469899.97,1301529.62,557994.88,13488.83,212772.73,8059.05,240369.50,198190.12,220819.62,131640.52,982766.81,864114.69,858448.00,533375.50,978175.81,984040.31,867936.06,2273705.25,2121497.00,2463415.25,2455566.75,2351526.00,1964521.38,2187607.75,849831.19,1851079.62,1454877.62,1066130.38,1494606.88
